DeviceID = e00fce682c26b88b84ab26f2	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1638404335,17.544556,6.090622,0.000000,0.000000,0.000000,0.000000,-0.781441,3.964844,143.003677,1186.875000,2497.875000,10.875000,1173.750000,2497.500000,10.125000,8681,47.045898,3.084610,5934,45.230103,3.877701
1638405297,17.442322,6.913071,0.000000,0.000000,0.000000,0.000000,-0.781441,3.984375,48.449329,1185.750000,2498.062500,10.875000,1173.750000,2497.687500,10.125000,8726,47.448730,3.097961,5975,45.664978,3.864346
1638406259,17.143250,6.285553,0.000000,0.000000,0.000000,0.000000,-0.781441,3.984375,48.449329,1185.187500,2497.875000,10.875000,1173.750000,2497.687500,10.125000,8819,47.846985,3.097961,5924,46.029663,3.834972
1638407221,17.219543,6.082611,0.000000,0.000000,0.000000,0.000000,-0.781441,3.984375,47.667889,1184.625000,2497.875000,11.062500,1173.562500,2497.687500,10.125000,8791,48.268127,3.097961,5923,46.424866,3.792248
1638408319,17.150879,6.285553,0.000000,0.000000,0.000000,0.000000,-0.781441,3.964844,142.222229,1183.500000,2498.062500,11.062500,1173.562500,2497.500000,10.125000,8876,48.703003,3.097961,5927,46.868896,3.749523
1638409281,17.198181,6.897049,0.000000,0.000000,0.000000,0.000000,-0.781441,3.984375,48.449329,1182.937500,2497.687500,10.875000,1173.375000,2497.875000,10.125000,8945,49.089050,3.084610,6010,47.203064,3.749523
1638410243,17.051697,6.782227,0.000000,0.000000,0.000000,0.000000,-0.781441,3.984375,48.449329,1182.937500,2497.875000,10.875000,1173.562500,2497.875000,10.125000,8943,49.435425,3.084610,5998,47.558594,3.736172
1638411206,17.047119,5.909042,0.000000,0.000000,0.000000,0.000000,-1.172161,3.984375,48.449329,1182.937500,2497.875000,10.875000,1173.375000,2497.687500,10.125000,9012,49.774170,3.111313,6117,47.906494,3.749523
1638412303,16.806030,5.909042,0.000000,0.000000,0.000000,0.000000,-0.781441,3.945312,139.877899,1182.562500,2498.062500,10.875000,1173.375000,2497.500000,10.125000,9020,50.172424,3.097961,5992,48.277283,3.693447
1638413265,16.931152,5.652695,0.000000,0.000000,0.000000,0.000000,-0.781441,3.984375,48.449329,1182.000000,2498.062500,10.875000,1173.562500,2497.687500,10.125000,9083,50.476074,3.111313,6028,48.640442,3.650723
