DeviceID = e00fce682c26b88b84ab26f2	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1635828024,30.047607,22.697144,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,57.826618,1698.187500,2499.187500,11.625000,1695.750000,2498.625000,11.062500,553,25.695801,21.763565,487,26.153564,21.867706
1635828214,29.878235,22.854691,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,53.919415,1698.750000,2499.000000,11.625000,1696.875000,2498.625000,11.062500,565,25.535583,21.889069,463,26.062012,21.953156
1635829297,29.930115,22.825317,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,103.150185,1698.562500,2499.000000,11.625000,1697.062500,2498.437500,11.062500,569,25.721741,21.707481,492,26.152039,21.827652
1635830259,30.398560,22.697144,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,21.880342,1698.750000,2499.000000,11.625000,1697.062500,2498.625000,11.062500,557,25.675964,21.675438,474,26.162720,21.811630
1635831221,30.180359,22.603683,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,46.886448,1698.000000,2499.000000,11.625000,1695.375000,2498.625000,11.062500,567,25.718689,21.675438,453,26.161194,21.771576
1635832319,30.027771,22.582321,0.000000,0.000000,0.000000,0.292969,-0.781441,3.964844,142.222229,1696.875000,2499.187500,11.625000,1694.812500,2498.625000,11.062500,576,25.685120,21.606010,483,26.087952,21.696800
1635833281,29.841614,22.582321,0.000000,0.000000,0.000000,0.312500,-0.781441,4.003906,47.667889,1696.875000,2499.000000,11.625000,1694.812500,2498.625000,10.875000,564,25.585938,21.606010,468,26.062012,21.728844
1635834243,30.381775,22.432785,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1696.312500,2499.000000,11.625000,1694.812500,2498.437500,10.875000,565,25.613403,21.606010,463,26.048279,21.742195
1635835205,30.506897,22.456818,0.000000,0.000000,0.000000,0.312500,-0.781441,4.003906,35.164837,1695.562500,2499.187500,11.812500,1692.375000,2498.437500,11.062500,542,25.627136,21.576637,473,26.014709,21.640724
1635836407,30.532837,22.320633,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,106.275948,1694.062500,2499.000000,11.625000,1690.875000,2498.437500,11.062500,562,25.631714,21.480507,477,26.034546,21.541924
1635837369,30.279541,22.582321,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,21.098900,1693.500000,2499.187500,11.625000,1692.375000,2498.250000,11.062500,578,25.579834,21.493858,460,26.037598,21.598000
1635838331,30.700684,22.456818,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1694.062500,2499.000000,11.625000,1693.312500,2498.250000,11.062500,556,25.650024,21.520561,480,26.069641,21.654076
1635839293,30.731201,22.328644,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1694.062500,2498.812500,11.625000,1692.750000,2498.625000,10.875000,575,25.622559,21.520561,468,26.042175,21.640724
1635840391,30.822754,22.328644,0.000000,0.000000,0.000000,0.312500,-0.781441,3.964844,144.566544,1692.937500,2499.000000,11.625000,1690.125000,2498.437500,10.875000,564,25.588989,21.464485,444,26.020813,21.541924
1635841353,30.525208,22.328644,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1691.250000,2498.812500,11.625000,1688.250000,2498.625000,11.062500,560,25.558472,21.408409,476,25.973511,21.472496
1635842315,30.316162,22.328644,0.000000,0.000000,0.000000,0.312500,-0.781441,4.003906,47.667889,1690.500000,2499.000000,11.625000,1688.250000,2498.625000,11.062500,554,25.543213,21.381706,482,25.961304,21.459145
1635843277,30.358887,22.328644,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1690.125000,2499.000000,11.625000,1689.187500,2498.437500,11.062500,562,25.485229,21.365685,479,25.933838,21.485847
1635844374,30.110168,22.328644,0.000000,0.000000,0.000000,0.312500,-0.781441,3.964844,111.746033,1690.312500,2499.000000,11.625000,1689.562500,2498.437500,11.062500,579,25.428772,21.395058,468,25.865173,21.501869
1635845336,30.136108,22.133713,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,21.098900,1690.312500,2499.000000,11.625000,1688.250000,2498.812500,11.062500,553,25.411987,21.352333,463,25.822449,21.459145
1635846298,30.171204,22.080307,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1689.000000,2499.187500,11.625000,1685.812500,2498.625000,10.875000,563,25.369263,21.325630,468,25.787354,21.360344
1635847260,30.201721,22.133713,0.000000,0.000000,0.000000,0.312500,-0.781441,3.984375,47.667889,1687.125000,2499.000000,11.625000,1684.125000,2498.437500,11.062500,567,25.364685,21.253532,466,25.767517,21.274895
