DeviceID = e00fce6856706b033b691f8b	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1636507438,11.448669,0.488358,0.000000,0.000000,0.000000,0.312500,-1.172161,3.574219,152.380951,1279.312500,2498.437500,12.750000,1307.062500,2498.437500,12.187500,6421,52.653503,7.645535,2974,55.162048,6.174183
1636508400,11.325073,0.533752,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,52.356533,1274.250000,2498.250000,12.750000,1303.500000,2498.437500,12.187500,6438,53.085327,7.506676,2950,55.555725,6.005951
1636509362,11.341858,0.352173,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,52.356533,1269.562500,2498.062500,12.750000,1299.937500,2498.437500,12.187500,6402,53.450012,7.421227,2941,55.964661,5.853741
1636510324,11.175537,0.226669,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,51.575092,1265.062500,2498.250000,12.750000,1296.562500,2498.437500,12.187500,6380,53.872681,7.306400,2915,56.376648,5.738918
1636511485,11.347961,0.352173,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,152.380951,1260.187500,2498.250000,12.750000,1292.625000,2498.437500,12.187500,6351,54.280090,7.151524,2890,56.819153,5.541313
1636512447,11.158752,-0.283356,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,52.356533,1256.062500,2498.437500,12.750000,1289.625000,2498.250000,12.187500,6327,54.669189,7.082092,2882,57.199097,5.429161
1636513409,11.373901,-0.307388,0.000000,0.000000,0.000000,0.312500,-1.172161,3.593750,52.356533,1252.125000,2498.062500,12.750000,1286.812500,2498.250000,12.187500,6318,55.006409,6.969940,2859,57.524109,5.287632
1636514371,11.158752,-0.518341,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,50.793652,1248.562500,2498.250000,12.750000,1283.812500,2498.625000,12.187500,6314,55.351257,6.900513,2847,57.853699,5.162128
1636515518,11.054993,-0.526352,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,151.599518,1244.062500,2498.250000,12.750000,1280.250000,2498.625000,12.187500,6283,55.740356,6.775005,2836,58.219910,5.004578
1636516480,11.236572,-0.780029,0.000000,0.000000,0.000000,0.312500,-1.172161,3.593750,52.356533,1240.500000,2498.250000,12.750000,1277.250000,2498.250000,12.187500,6249,56.033325,6.732281,2818,58.500671,4.892426
1636517442,11.195374,-0.651855,0.000000,0.000000,0.000000,0.312500,-1.562882,3.593750,51.575092,1237.125000,2498.250000,12.750000,1274.437500,2498.625000,12.187500,6246,56.361389,6.620125,2839,58.828735,4.766918
