DeviceID = e00fce687038a71d446ef776	Firmware Version = 2.2.0	Software Version = 0.0.0
ParticleTime.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
946685106,29.463196,19.767838,0.004120,0.004150,0.004105,0.000000,0.000000,0.000000,0.000000,-2.062500,1.454224,-1.687500,1.253613,-0.875000,1.368018,2811.375000,2497.125000,10.125000,8010,99.334717,-1.358814
946685135,29.109192,19.896011,0.003632,0.003662,0.003662,0.000000,0.000000,0.000000,0.000000,-2.000000,1.443750,-1.687500,1.242334,-0.875000,1.350293,2812.125000,2497.125000,10.125000,8089,98.435974,-1.073090
946686074,26.905823,23.962860,0.006760,0.006744,0.006561,0.000000,0.000000,0.000000,0.000000,-1.812500,1.459863,-1.625000,1.256030,-0.937500,1.365601,2814.375000,2496.937500,10.125000,8001,99.296570,-1.273365
1645037137,23.422241,28.820114,0.006180,0.006302,0.006119,0.000000,0.000000,0.000000,0.000000,-1.375000,1.469531,-1.562500,1.253613,-0.937500,1.366406,2818.500000,2496.937500,10.125000,8058,99.403381,-1.187916
1645038077,22.488403,30.457001,0.005829,0.005981,0.005829,0.000000,0.000000,0.000000,0.000000,-1.062500,1.480005,-1.375000,1.252808,-0.937500,1.371240,2819.812500,2496.937500,10.125000,7997,99.444580,-1.115814
1645039016,24.417114,28.318100,0.005142,0.005264,0.005173,0.000000,0.000000,0.000000,0.000000,-0.750000,1.492090,-1.312500,1.263281,-0.937500,1.370435,2819.812500,2496.937500,10.125000,8026,99.462891,-1.017014
1645039955,22.895813,31.076508,0.005920,0.006058,0.005920,0.000000,0.000000,0.000000,0.000000,-0.500000,1.504980,-1.187500,1.260864,-0.937500,1.365601,2820.562500,2496.937500,10.125000,8051,99.494934,-0.904861
1645041030,24.407959,29.701309,0.094543,0.103760,0.112274,0.351562,-0.781441,3.750000,-756.434692,-0.187500,1.512231,-1.062500,1.260059,-0.937500,1.361572,2808.750000,2497.125000,10.125000,8038,99.549866,-0.790035
1645041970,25.097656,30.069809,0.005310,0.005341,0.005280,0.000000,0.000000,0.000000,0.000000,-0.062500,1.522705,-1.000000,1.261670,-0.875000,1.369629,2821.312500,2496.937500,10.125000,8090,99.617004,-0.664532
1645042909,22.669983,33.586578,0.005676,0.005722,0.005630,0.000000,0.000000,0.000000,0.000000,0.062500,1.538818,-0.875000,1.256836,-0.875000,1.370435,2823.000000,2496.937500,10.125000,8054,99.612427,-0.608452
1645043848,25.729370,28.318100,0.047699,0.056793,0.067596,0.351562,-1.172161,3.828125,-843.956055,0.062500,1.550098,-0.750000,1.264893,-0.812500,1.360767,2802.937500,2497.312500,10.125000,8048,99.658203,-0.523003
1645044925,36.911011,15.620880,0.023560,0.032928,0.044830,0.351562,-1.172161,3.828125,-757.997559,0.062500,1.552515,-0.687500,1.260864,-0.812500,1.358350,2790.750000,2497.125000,10.125000,8038,99.667358,-0.448235
1645045865,40.226746,10.843735,0.023499,0.032654,0.044434,0.351562,-1.172161,3.867188,-833.015869,0.125000,1.564600,-0.625000,1.262476,-0.812500,1.360767,2786.625000,2497.312500,9.937500,7999,99.682617,-0.392159
1645046805,41.311646,8.798294,0.022766,0.031830,0.043457,0.429688,-0.781441,3.867188,-822.075745,0.062500,1.562988,-0.562500,1.269727,-0.750000,1.359961,2784.750000,2497.125000,9.937500,8048,99.685669,-0.349430
1645047744,42.309570,8.058624,0.026245,0.032837,0.041901,0.351562,-1.172161,3.867188,-808.009827,0.125000,1.568628,-0.562500,1.259253,-0.750000,1.360767,2784.562500,2497.125000,9.937500,7999,99.673462,-0.309376
1645048873,29.902649,19.920044,0.003799,0.003723,0.003738,0.000000,0.000000,0.000000,0.000000,0.125000,1.570239,-0.500000,1.268921,-0.687500,1.369629,2812.875000,2497.125000,9.937500,8006,99.710083,-0.293354
1645049813,28.932190,21.017532,0.035248,0.043030,0.053162,0.351562,-0.781441,3.906250,-769.719177,0.125000,1.577490,-0.437500,1.264087,-0.687500,1.370435,2797.125000,2497.125000,9.937500,7981,99.655151,-0.266651
1645050752,33.557129,16.494064,0.060364,0.064453,0.071320,0.390625,-0.781441,3.906250,-758.778992,0.125000,1.581519,-0.437500,1.260059,-0.687500,1.368823,2794.500000,2497.125000,9.937500,7972,99.726868,-0.237278
1645051692,36.584473,11.596756,0.021057,0.029022,0.039246,0.351562,-1.172161,3.906250,-745.494568,0.125000,1.579102,-0.375000,1.266504,-0.625000,1.362378,2789.437500,2497.125000,10.125000,8041,99.708557,-0.194553
1645052786,40.130615,8.453827,0.019379,0.027100,0.037018,0.351562,-0.781441,3.945312,-689.230774,0.187500,1.590381,-0.375000,1.262476,-0.625000,1.364795,2787.562500,2497.125000,10.125000,7951,99.703979,-0.210575
1645053726,44.226074,6.811600,0.018738,0.026215,0.035675,0.312500,-1.172161,3.906250,-701.733826,0.125000,1.582324,-0.375000,1.264893,-0.625000,1.363989,2787.187500,2497.312500,9.937500,7956,99.685669,-0.194553
1645054666,43.270874,6.314926,0.018066,0.025146,0.034088,0.312500,-1.172161,3.945312,-677.509216,0.187500,1.588770,-0.312500,1.263281,-0.625000,1.359961,2787.375000,2497.312500,10.125000,8019,99.714661,-0.167850
1645055605,46.426392,5.684738,0.026947,0.032745,0.040283,0.312500,-0.781441,3.945312,-654.065979,0.125000,1.591187,-0.375000,1.268115,-0.562500,1.363184,2788.312500,2497.312500,10.125000,7984,99.699402,-0.151829
1645056700,44.741821,7.751541,0.027924,0.032959,0.039398,0.351562,-1.172161,3.945312,-624.371155,0.187500,1.588770,-0.312500,1.256836,-0.562500,1.358350,2791.125000,2497.125000,9.937500,7954,99.700928,-0.138477
1645057640,44.013977,6.047897,0.016602,0.021973,0.028412,0.312500,-1.172161,3.945312,-608.742371,0.187500,1.583130,-0.250000,1.268115,-0.562500,1.363989,2789.625000,2497.125000,9.937500,7978,99.699402,-0.111771
1645058580,45.675659,4.795532,0.012817,0.017792,0.023254,0.351562,-1.172161,3.945312,-582.173401,0.125000,1.595215,-0.250000,1.256836,-0.562500,1.358350,2789.250000,2497.312500,9.937500,7974,99.737549,-0.125126
1645059519,46.662903,3.671341,0.010864,0.014801,0.018860,0.312500,-1.172161,3.945312,-557.167297,0.187500,1.598437,-0.250000,1.260059,-0.500000,1.360767,2789.062500,2497.125000,9.937500,7975,99.681091,-0.138477
1645060626,48.292542,2.846222,0.007507,0.009674,0.011749,0.312500,-1.172161,3.945312,-532.942627,0.187500,1.595215,-0.250000,1.266504,-0.562500,1.351099,2789.062500,2497.125000,9.937500,7971,99.703979,-0.095749
1645061566,46.842957,2.159958,0.012878,0.014832,0.017212,0.351562,-1.172161,3.984375,-521.221069,0.187500,1.596826,-0.250000,1.252808,-0.562500,1.359155,2799.375000,2497.312500,9.937500,8000,99.687195,-0.111771
1645062506,46.051025,0.651245,0.003296,0.003052,0.003540,0.312500,-1.172161,3.984375,-506.373657,0.187500,1.598437,-0.250000,1.257642,-0.500000,1.351904,2799.750000,2497.125000,9.937500,7962,99.691772,-0.095749
1645063446,46.716309,-0.355453,0.000122,0.000122,0.000122,0.312500,-1.172161,3.984375,-488.400482,0.187500,1.604077,-0.187500,1.259253,-0.500000,1.355933,2797.875000,2497.312500,9.937500,7977,99.636841,-0.069046
1645064524,46.382141,-1.258011,0.000000,0.000000,0.000000,0.312500,-1.172161,3.984375,-458.705750,0.187500,1.596826,-0.187500,1.258447,-0.500000,1.349487,2798.250000,2497.312500,9.937500,8008,99.667358,-0.039673
1645065466,46.261597,-1.621170,0.000000,0.000122,0.000000,0.351562,-0.781441,3.984375,-443.076935,0.125000,1.591992,-0.187500,1.263281,-0.500000,1.350293,2798.437500,2497.312500,9.937500,8006,99.650574,-0.053024
1645066407,46.098328,-2.053757,0.000000,0.000000,0.000000,0.351562,-0.781441,3.984375,-425.103790,-0.187500,1.583130,-0.250000,1.257642,-0.500000,1.357544,2798.250000,2497.125000,9.937500,8019,99.621582,-0.053024
1645067348,46.223450,-2.627869,0.000000,0.000000,0.000000,0.351562,-0.781441,3.984375,-413.382172,-0.375000,1.572656,-0.187500,1.264893,-0.500000,1.352710,2798.250000,2497.312500,9.937500,8052,99.632263,-0.039673
1645068426,46.228027,-2.999039,0.000000,0.000000,0.000000,0.351562,-0.781441,3.984375,-394.627594,-0.687500,1.553320,-0.187500,1.256836,-0.437500,1.356738,2799.000000,2497.312500,9.937500,8040,99.632263,-0.039673
1645069368,46.400452,-3.007050,0.000000,0.000000,0.000000,0.351562,-1.172161,4.023438,-383.687439,-0.875000,1.526733,-0.187500,1.250391,-0.437500,1.348682,2798.812500,2497.500000,9.937500,8006,99.636841,-0.026321
