DeviceID = e00fce687038a71d446ef776	Firmware Version = 2.2.0	Software Version = 0.0.0
ParticleTime.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1647116790,20.744324,54.564362,0.013214,0.013321,0.013763,0.000000,0.000000,0.000000,0.000000,12.750000,1.719287,0.125000,1.455835,-0.125000,1.712842,2869.500000,2496.750000,10.500000,1121,99.998474,0.611885
1647116940,21.928406,51.803284,0.004898,0.005295,0.005356,0.000000,0.000000,0.000000,0.000000,12.750000,1.724121,0.125000,1.462280,-0.125000,1.712036,2866.875000,2496.750000,10.687500,1020,99.998474,0.766766
1647117999,41.992188,26.675873,0.141785,0.155884,0.173431,0.312500,-1.172161,3.515625,186.764343,8.312500,1.684644,0.125000,1.459863,-0.125000,1.704785,2831.062500,2496.750000,10.500000,1114,99.998474,1.007095
1647118939,49.984741,17.938690,0.048798,0.063293,0.081146,0.351562,-1.172161,3.554688,82.832726,5.250000,1.667725,0.125000,1.465503,-0.125000,1.713647,2821.312500,2496.750000,10.500000,1142,99.998474,1.124588
1647119879,45.867920,15.620880,0.080353,0.094391,0.110870,0.312500,-0.781441,3.554688,82.832726,4.187500,1.647583,0.125000,1.471143,-0.125000,1.709619,2820.000000,2496.937500,10.500000,1161,99.998474,1.023117
1647120975,31.813049,27.420883,0.003265,0.003235,0.003403,0.000000,0.000000,0.000000,0.000000,6.312500,1.655640,0.187500,1.462280,-0.125000,1.703979,2845.312500,2496.562500,10.687500,1200,99.998474,0.993744
1647121915,33.116150,25.677185,0.180786,0.172546,0.183319,0.351562,-1.172161,3.554688,82.051285,6.000000,1.654028,0.312500,1.474365,-0.125000,1.710425,2829.187500,2496.562500,10.687500,1161,99.998474,1.151295
1647122854,35.728455,21.655731,0.162018,0.154877,0.160828,0.351562,-1.172161,3.554688,82.832726,5.187500,1.650000,0.437500,1.476782,-0.125000,1.711230,2824.312500,2496.937500,10.687500,1169,99.998474,1.335545
1647123794,35.838318,20.398026,0.187531,0.177429,0.183350,0.351562,-1.172161,3.554688,82.832726,5.062500,1.647583,0.562500,1.474365,-0.125000,1.711230,2823.750000,2496.937500,10.500000,1152,99.998474,1.378273
1647124869,34.541321,21.175079,0.184753,0.177094,0.183685,0.312500,-0.781441,3.515625,211.770462,5.375000,1.647583,0.562500,1.472754,-0.125000,1.708008,2824.312500,2496.750000,10.687500,1161,99.998474,1.404976
1647125809,36.280823,19.006805,0.137756,0.132019,0.136902,0.312500,-0.781441,3.554688,82.832726,4.937500,1.645972,0.625000,1.488062,-0.125000,1.711230,2821.312500,2496.750000,10.687500,1137,99.998474,1.503777
1647126749,33.767700,21.207123,0.156982,0.149353,0.156097,0.351562,-1.172161,3.554688,82.832726,5.437500,1.650000,0.687500,1.493701,-0.187500,1.722510,2823.000000,2496.750000,10.687500,1122,99.998474,1.519798
1647127688,33.639526,21.340637,0.204376,0.193665,0.202301,0.351562,-1.172161,3.554688,82.832726,5.562500,1.646777,0.687500,1.494507,-0.125000,1.713647,2822.437500,2496.750000,10.687500,1107,99.998474,1.575874
1647128976,34.780884,20.013504,0.089661,0.095154,0.105286,0.351562,-0.390720,3.515625,210.207565,5.375000,1.641138,0.750000,1.500147,-0.125000,1.709619,2820.375000,2496.562500,10.687500,1096,99.998474,1.618599
1647129916,37.396240,16.429977,0.077515,0.078003,0.083374,0.312500,-1.172161,3.554688,82.832726,4.750000,1.641138,0.812500,1.509009,-0.125000,1.713647,2815.312500,2496.937500,10.687500,1090,99.998474,1.658657
1647130856,37.669373,15.556793,0.116638,0.108978,0.113495,0.312500,-0.781441,3.554688,83.614166,4.500000,1.639526,0.812500,1.506592,-0.125000,1.708813,2814.750000,2496.562500,10.687500,1072,99.998474,1.618599
1647131795,37.974548,14.237671,0.081482,0.078308,0.084106,0.351562,-0.781441,3.554688,83.614166,4.187500,1.631470,0.812500,1.513843,-0.125000,1.709619,2813.062500,2496.562500,10.687500,1062,99.998474,1.602577
1647132968,40.827942,10.857086,0.038208,0.037201,0.040405,0.351562,-0.781441,3.515625,185.982910,3.500000,1.627441,0.750000,1.504980,-0.125000,1.710425,2810.437500,2496.562500,10.500000,1049,99.998474,1.519798
1647133908,40.872192,9.807663,0.015411,0.015106,0.016418,0.312500,-0.781441,3.554688,83.614166,3.250000,1.626636,0.750000,1.501758,-0.187500,1.711230,2809.312500,2496.750000,10.687500,1042,99.998474,1.404976
1647134848,41.333008,8.328323,0.012726,0.012787,0.014160,0.351562,-1.172161,3.554688,83.614166,2.875000,1.627441,0.687500,1.508203,-0.187500,1.712036,2808.375000,2496.750000,10.687500,1025,99.998474,1.335545
1647135787,41.607666,7.564621,0.014862,0.014923,0.017181,0.273438,-1.172161,3.554688,83.614166,2.562500,1.612134,0.687500,1.507397,-0.125000,1.708813,2808.187500,2496.750000,10.687500,1029,99.998474,1.223392
1647136863,41.531372,6.824951,0.010742,0.009613,0.010498,0.312500,-1.172161,3.515625,203.174606,2.250000,1.611328,0.625000,1.501758,-0.125000,1.711230,2808.562500,2496.750000,10.687500,1010,99.998474,1.105896
1647137803,42.059326,5.559235,0.003296,0.004028,0.005371,0.312500,-1.172161,3.554688,86.739929,1.687500,1.610522,0.562500,1.494507,-0.125000,1.707202,2817.937500,2496.562500,10.687500,990,99.998474,1.007095
1647138744,42.524719,3.917007,0.000122,0.000122,0.000244,0.312500,-1.172161,3.554688,111.746033,1.000000,1.610522,0.562500,1.490479,-0.125000,1.712036,2815.687500,2496.937500,10.687500,1014,99.998474,0.894943
1647139685,42.758179,2.979736,0.000000,0.000000,0.000000,0.312500,-0.781441,3.554688,111.746033,0.562500,1.614551,0.437500,1.481616,-0.125000,1.708008,2815.687500,2496.937500,10.687500,992,99.998474,0.782787
1647140763,42.581177,2.029114,0.000000,0.000000,0.000000,0.312500,-0.781441,3.476562,213.333344,0.062500,1.607300,0.437500,1.483227,-0.187500,1.710425,2816.250000,2496.750000,10.687500,967,99.998474,0.585182
1647141705,42.333984,1.783447,0.000000,0.000000,0.000000,0.273438,-1.172161,3.554688,112.527473,0.250000,1.614551,0.312500,1.482422,-0.125000,1.714453,2817.187500,2496.937500,10.687500,973,99.998474,0.414284
1647142646,42.192078,2.058487,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,111.746033,0.312500,1.615356,0.187500,1.481616,-0.125000,1.712036,2818.125000,2497.125000,10.687500,950,99.998474,0.326160
1647143587,41.757202,2.790146,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,111.746033,0.687500,1.620996,0.187500,1.474365,-0.187500,1.710425,2820.000000,2496.750000,10.687500,959,99.998474,0.286106
1647144665,41.755676,3.278809,0.000000,0.000000,0.000000,0.312500,-1.172161,3.515625,213.333344,0.750000,1.612939,0.187500,1.477588,-0.125000,1.713647,2820.750000,2496.937500,10.687500,949,99.998474,0.227360
1647145607,41.296387,3.097229,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,113.308914,1.000000,1.624219,0.187500,1.489673,-0.125000,1.714453,2820.000000,2496.750000,10.687500,937,99.998474,0.286106
1647146548,41.505432,2.029114,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,112.527473,0.312500,1.617773,0.187500,1.490479,-0.125000,1.714453,2818.312500,2496.937500,10.687500,945,99.998474,0.299458
1647147489,41.552734,1.839523,0.000000,0.000000,0.000000,0.273438,-1.172161,3.554688,113.308914,0.437500,1.628247,0.250000,1.487256,-0.125000,1.716870,2818.312500,2496.750000,10.687500,938,99.998474,0.286106
1647148585,41.331482,2.021103,0.000000,0.000000,0.000000,0.312500,-1.172161,3.515625,220.366302,0.625000,1.620190,0.125000,1.483227,-0.187500,1.712036,2819.437500,2496.937500,10.687500,934,99.998474,0.227360
1647149527,41.386414,2.288132,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,114.090363,0.875000,1.626636,0.250000,1.488867,-0.187500,1.722510,2819.250000,2496.937500,10.687500,921,99.998474,0.256733
1647150468,41.003418,2.288132,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,112.527473,0.875000,1.629858,0.187500,1.497729,-0.187500,1.721704,2818.875000,2496.750000,10.687500,910,99.998474,0.286106
1647151409,41.038513,2.029114,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,111.746033,0.750000,1.629053,0.250000,1.492895,-0.187500,1.720898,2818.875000,2496.937500,10.687500,895,99.998474,0.299458
1647152505,41.094971,1.722031,0.000000,0.000000,0.000000,0.312500,-1.172161,3.515625,218.803421,0.500000,1.632275,0.187500,1.509814,-0.125000,1.726538,2818.500000,2497.125000,10.687500,914,99.998474,0.286106
1647153447,41.038513,1.281433,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,112.527473,0.312500,1.645166,0.250000,1.513843,-0.125000,1.731372,2817.750000,2496.937500,10.687500,914,99.998474,0.312809
1647154388,40.986633,1.027756,0.000000,0.000000,0.000000,0.273438,-1.172161,3.554688,112.527473,0.312500,1.645166,0.187500,1.517871,-0.125000,1.731372,2817.750000,2496.937500,10.687500,898,99.998474,0.286106
1647155329,40.910339,1.014404,0.000000,0.000000,0.000000,0.273438,-1.172161,3.554688,111.746033,0.312500,1.639526,0.250000,1.507397,-0.125000,1.726538,2817.562500,2496.750000,10.687500,890,99.998474,0.270084
1647156425,40.579224,0.926285,0.000000,0.000000,0.000000,0.312500,-1.172161,3.515625,219.584869,0.250000,1.623413,0.187500,1.504980,-0.125000,1.724121,2818.125000,2496.750000,10.687500,913,99.998474,0.243382
1647157367,40.504456,0.328140,0.000000,0.000000,0.000000,0.312500,-1.172161,3.554688,114.090363,0.250000,1.627441,0.187500,1.500952,-0.125000,1.724927,2817.187500,2496.750000,10.687500,906,99.998474,0.227360
