DeviceID = e00fce6838cebdf42fc24391	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1638273377,30.487061,21.639709,0.000015,0.000000,0.000000,0.312500,-0.781441,4.042969,147.692307,1687.312500,2497.687500,12.375000,1687.875000,2498.437500,12.187500,411,21.560669,21.170746,441,21.620178,21.376366
1638274338,30.593872,21.631699,0.004883,0.004150,0.002563,0.312500,-0.781441,4.062500,50.012211,1688.250000,2498.812500,12.375000,1688.625000,2498.437500,12.187500,406,21.548462,21.269554,426,21.611023,21.501869
1638275300,30.778503,21.631699,0.001953,0.001587,0.000977,0.273438,-0.781441,4.062500,50.012211,1688.812500,2498.437500,12.375000,1688.625000,2498.250000,12.187500,411,21.598816,21.355003,421,21.658325,21.544594
1638276262,31.169128,21.570282,0.002075,0.001831,0.001099,0.312500,-0.781441,4.062500,50.793652,1688.812500,2498.625000,12.562500,1688.062500,2498.250000,12.187500,404,21.667480,21.325630,438,21.745300,21.517891
1638277359,31.158447,21.631699,0.002075,0.001831,0.001099,0.312500,-0.781441,4.062500,59.389500,1687.500000,2498.625000,12.562500,1687.500000,2498.250000,12.187500,406,21.736145,21.240173,427,21.730042,21.445793
1638278321,31.265259,21.631699,0.002197,0.001831,0.001099,0.312500,-0.781441,4.062500,50.793652,1686.000000,2498.625000,12.562500,1686.750000,2498.250000,12.187500,403,21.730042,21.154724,438,21.781921,21.360344
1638279283,30.935669,21.647720,0.002441,0.002075,0.001343,0.312500,-0.781441,4.062500,50.793652,1686.375000,2498.437500,12.562500,1686.187500,2498.062500,12.187500,413,21.762085,21.184097,436,21.859741,21.389717
1638280245,30.989075,21.631699,0.003418,0.002686,0.001953,0.273438,-0.781441,4.062500,50.793652,1687.125000,2498.625000,12.562500,1686.937500,2498.250000,12.187500,403,21.809387,21.256203,440,21.846008,21.432442
1638281342,30.812073,21.380692,0.009766,0.007446,0.005493,0.312500,-0.781441,4.042969,141.440781,1689.000000,2498.437500,12.562500,1688.625000,2498.250000,12.187500,396,21.784973,21.325630,447,21.881104,21.531242
1638282304,31.652832,21.639709,0.007080,0.005371,0.004150,0.312500,-0.781441,4.062500,50.012211,1690.687500,2498.625000,12.562500,1690.312500,2498.250000,12.187500,409,21.946716,21.411079,446,21.990967,21.600670
1638283266,31.417847,21.749191,0.008545,0.006592,0.005005,0.312500,-0.781441,4.062500,50.793652,1691.062500,2498.437500,12.562500,1691.250000,2498.437500,12.187500,413,21.946716,21.424431,438,22.036743,21.587318
1638284228,31.289673,21.695786,0.009888,0.007690,0.005859,0.312500,-0.390720,4.062500,50.012211,1690.875000,2498.437500,12.375000,1691.250000,2498.250000,12.187500,412,21.903992,21.381706,438,22.047424,21.557945
1638285345,31.298828,21.818619,0.019531,0.015137,0.011841,0.292969,-0.781441,4.042969,142.222229,1691.062500,2498.625000,12.562500,1691.250000,2498.250000,12.187500,410,22.004700,21.381706,438,22.065735,21.587318
1638286307,31.105042,21.687775,0.021484,0.016724,0.013062,0.312500,-0.781441,4.062500,50.012211,1692.187500,2498.437500,12.562500,1691.625000,2498.250000,12.187500,420,21.960449,21.424431,434,22.052002,21.643394
1638287269,30.978394,21.874695,0.013306,0.010376,0.008179,0.312500,-0.781441,4.082031,50.793652,1694.437500,2498.437500,12.562500,1693.312500,2498.250000,12.187500,418,21.926880,21.565956,442,22.088623,21.744865
1638288231,30.761719,21.874695,0.024292,0.019043,0.015137,0.273438,-0.781441,4.062500,46.105007,1697.812500,2498.812500,12.562500,1696.125000,2498.250000,12.187500,407,21.937561,21.736855,467,22.023010,21.929123
1638289328,30.632019,22.187119,0.999985,-9999.000000,-9999.000000,0.351562,-0.781441,4.023438,155.506714,1702.125000,2498.812500,12.562500,1700.250000,2498.250000,12.187500,427,21.917725,21.878387,437,22.019958,22.097351
1638290289,30.584717,22.259216,0.014526,0.011475,0.009155,0.312500,-0.781441,4.062500,50.012211,1704.562500,2498.625000,12.562500,1702.875000,2498.250000,12.187500,406,21.864319,21.961166,443,21.965027,22.166779
1638291251,30.729675,22.251205,0.016357,0.012939,0.010010,0.273438,-0.390720,4.062500,50.012211,1704.562500,2498.625000,12.562500,1704.187500,2498.250000,12.187500,426,21.878052,21.918442,441,22.006226,22.140076
1638292213,30.328369,22.384720,0.015747,0.012573,0.009644,0.273438,-0.781441,4.062500,50.012211,1705.125000,2498.625000,12.375000,1704.375000,2498.437500,12.187500,408,21.832275,21.878387,441,21.946716,22.124054
1638293475,29.728699,22.384720,0.016968,0.013428,0.010498,0.312500,-0.781441,4.023438,142.222229,1705.875000,2498.625000,12.562500,1704.562500,2498.250000,12.187500,410,21.676636,21.934464,445,21.781921,22.140076
1638294566,29.191589,22.408752,0.001984,0.001587,0.001236,0.312500,-0.781441,4.023438,173.479858,1708.125000,2498.625000,12.562500,1706.062500,2498.437500,12.187500,435,21.624756,22.059967,434,21.640015,22.238876
1638295527,28.950500,22.635727,0.012695,0.010254,0.007935,0.312500,-0.781441,4.062500,50.793652,1710.750000,2498.250000,12.562500,1708.312500,2498.250000,12.187500,413,21.446228,22.172119,448,21.571350,22.367058
1638296489,28.631592,22.635727,0.014526,0.011597,0.008911,0.312500,-0.781441,4.042969,50.012211,1712.812500,2498.625000,12.562500,1710.187500,2498.062500,12.187500,419,21.304321,22.244217,445,21.459961,22.465858
1638297451,28.298950,22.392731,0.014648,0.011719,0.009155,0.312500,-0.781441,4.042969,50.012211,1712.812500,2498.625000,12.562500,1711.125000,2498.250000,12.187500,403,21.171570,22.201492,444,21.246338,22.423134
943920000,err.515,err.515,0.032593,0.032593,0.032593,0.000000,-0.390720,4.023438,119.560440,1711.875000,2498.437500,12.562500,1710.375000,2498.250000,12.187500,406,21.052551,22.129395,461,21.125793,22.367058
1638299531,27.328491,22.635727,0.007080,0.006104,0.004517,0.312500,-0.390720,4.042969,50.012211,1710.750000,2498.437500,12.375000,1709.812500,2498.250000,12.187500,412,20.861816,22.116043,436,20.988464,22.324333
1638300493,27.081299,22.494202,0.010742,0.008789,0.006714,0.312500,-0.781441,4.042969,50.012211,1710.187500,2498.625000,12.562500,1709.250000,2498.250000,12.187500,416,20.732117,22.073318,435,20.761108,22.324333
1638301455,26.760864,22.384720,0.009277,0.007690,0.005859,0.312500,-0.390720,4.042969,50.793652,1709.437500,2498.437500,12.375000,1708.875000,2498.250000,12.187500,421,20.571899,22.046616,438,20.628357,22.297630
